,Title,Date,Author,Summary
875,LIVE FUTURES REPORT 22/08: SHFE base metals prices consolidate ahead of manufacturing data; Zn up 0.7%,8/22/2019,Karen Ng,Base metals prices on the Shanghai Futures Exchange consolidated during morning trading on Thursday August 22 while market participants await further direction from the release of manufacturing data later.
871,AT A GLANCE: South32 FY19 earnings down 25% on lower Al prices; 3% production increase,8/22/2019,Alice Mason,A summary of South32's earnings and production results for its 2019 financial year ended June 30.
860,LIVE FUTURES REPORT 23/08: LME nickel price gains fade despite loosening forward curve,8/23/2019,Amy Hinton,"The London Metal Exchange three-month nickel price lost gains made over the course of the trading day to close at $15,665 per tonne on Friday August 23, down 1.3% from the intraday high of $15,860 per tonne, despite a healthy 11,294-lot turnover, the highest since August 8. "
858,"China relaunches 25% tariff on US automobiles, auto parts",8/23/2019,Michael Roh,"The Chinese government has revived a 25% tariff on imports of US automobiles and a 5% tariff on auto parts, set to take effect on December 15, which some market participants worry could imperil future investments as well as steel and base metals demand."
859,Canada sets aluminium transshipment measures in deal to end Section 232 tariffs,8/23/2019,Andrea Hotter,"The government of Canada has announced measures to prevent the transshipment of aluminium into the United States, building on commitments made when the US removed its Section 232 import tariffs in May.
"
862,SHFE STOCKS REPORT 23/08: Lead stocks tumble 10%; nickel inventories rise 2.6%,8/23/2019,Karen Ng,"Barring zinc and nickel, base metal stocks at Shanghai Futures Exchange-approved warehouses were lower week on week on Friday August 23, with the biggest fall in deliverable lead stocks, which slumped by 9.6% or 3,544 tonnes to 33,065 tonnes. "
861,FASTMARKETS NON-FERROUS EUROPEAN SCRAP PRICE CHANGES 23/08:,8/23/2019,Fastmarkets MB staff,The following Fastmarkets non-ferrous European free market scrap prices changed on Friday August 23:
863,"Auctions conclude for aluminium, alumina stocks from Qingdao warehouse fraud ",8/23/2019,"Justin Yang, Alice Mason, Hui Li","The auctions of aluminium ingots, alumina and copper cathodes by Qingdao Intermediate People’s Court have ended this week, with Europe-based trading houses winning some of the listings, according to official auction documents from JD.com dated Friday August 23. "
864,LIVE FUTURES REPORT 23/08: LME three-month Sn price down 1.7%; Zn slips into backwardation,8/23/2019,Amy Hinton,"While most base metals traded on the London Metal Exchange rose during the morning session on Friday 23 due to a marginal 0.19% increase in the United States’ Dow Jones Industrial Average index, the LME three-month tin price hit its lowest since February 2016."
865,"LIVE FUTURES REPORT 23/08: SHFE base metals prices slump on weak manufacturing data, declining yuan; Ni bucks trend",8/23/2019,Karen Ng,"Base metals prices on the Shanghai Futures Exchange were in consolidation mode again on Friday August 23, with the complex broadly down - led by a 1% decline in zinc."
866,IN CASE YOU MISSED IT: 5 key stories from August 22,8/23/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Thursday August 22 that are worth another look.
857,IN CASE YOU MISSED IT: 5 key stories from August 23,8/26/2019,Fastmarkets MB staff,Here are another five Fastmarkets MB stories you might have missed on Friday August 23 that are worth another look.
856,LIVE FUTURES REPORT 26/08: SHFE base metals prices fall on escalating US-China trade spat,8/26/2019,Hui Li,"Base metals prices on the Shanghai Futures Exchange tumbled across the board on the morning of Monday August 26, reflecting a further escalation of trade tensions between the United States and China after both sides said they would ramp up tariffs against each other."
855,"CBA agrees to buy Arconic sheet, foil unit in Brazil for $50mln",8/26/2019,Renato Rostás,"Brazilian aluminium producer Companhia Brasileira de Alumínio (CBA) has signed an agreement to buy Arconic’s operations in Itapissuma, in Brazil’s northeastern state of Pernambuco, for $50 million, CBA announced on Monday August 26."
854,IN CASE YOU MISSED IT: 5 key stories from August 26,8/27/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Monday August 26 that are worth another look.
853,LIVE FUTURE REPORT 27/08: SHFE base metals prices up amid easing trade tensions,8/27/2019,Huaqing Fu,Base metals prices on the Shanghai Futures Exchange edged up during morning trading on Tuesday August 27 after tensions between China and the United States appeared to ease a day earlier after both sides announced fresh tariffs against each other last Friday.
852,"LIVE FUTURES REPORT 27/08: LME tin price continues to weaken in 2% downslide; copper edges higher amid 17,000t cancelation",8/27/2019,Hassan Butt,"Tin’s three-month price on the London Metal Exchange continued its downtrend during morning trading on Tuesday August 27, with prices near the 2015-low and down 2% on the morning, while a fresh cancelation of just over 17,000 tonnes prompted a slightly higher copper price. "
851,Ball Corp launches aluminium pilot to replace plastic cups,8/27/2019,Andrea Hotter,"Ball Corporation has launched a pilot for infinitely recyclable aluminium cups in the United States, marking a further sign of customer-driven demand for sustainable products."
850,LIVE FUTURES REPORT 27/08: LME C/3M nickel spread tightest in 12 years,8/27/2019,Amy Hinton,"The London Metal Exchange cash/three-month nickel spread was trading in a $79 per tonne backwardation at the close on Tuesday August 27, its narrowest since July 2007 when it traded in a backwardation of $199 per tonne. "
849,WEEKLY BASE METAL PREMIUMS REPORT: 27/08,8/27/2019,Fastmarkets MB staff,A summary of base metals premiums from across the globe for the week to Tuesday August 27.
848,GLOBAL ALUMINIUM WRAP: Rotterdam upturn boosts premiums elsewhere in Europe,8/27/2019,"Justin Yang, Karen Ng, Hui Li, Renato Rostás, Michael Roh","Aluminium premiums were mostly stable globally during the week ended Tuesday August 27, with participants shifting their focus to longer-term contract negotiations. But the recovery recently seen for Rotterdam material was spreading throughout Europe."
842,LIVE FUTURES REPORT 28/08: LME nickel price climbs 2.5% on short covering; cash/three-month spread at $97 per tonne,8/28/2019,Hassan Butt,"The three-month nickel price on the London Metal Exchange was higher at the close of trading on Wednesday August 28, breaching the $16,000 per tonne resistance level in a bout of short covering, while tightness in the metal’s forward curve meant that it continued to trade at record levels.
"
843,BASE METALS WARRANT REPORT 28/08,8/28/2019,Fastmarkets MB staff,A summary of London Metal Exchange warrant premiums from across the globe for the week to Wednesday August 28.
844,Higher aluminium price prompts Chinese smelters to restart idled capacity - sources,8/28/2019,Hui Li,"Chinese aluminium producers are ramping up production on improved aluminium prices, with output at one smelter - Shanxi Meixin Industry - now running at full capacity of 300,000 tonnes per year, sources have told Fastmarkets. "
846,LIVE FUTURE REPORT 28/08: Nickel bucks uptrend among SHFE base metals,8/28/2019,Huaqing Fu,"Base metals prices on the Shanghai Futures Exchange, apart from those for nickel and tin, trended upward during morning trading on Wednesday August 28 following the release of guidelines a day earlier to boost domestic consumption in China, amid the country’s trade spat with the United States."
847,IN CASE YOU MISSED IT: 5 key stories from August 27,8/28/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Tuesday August 27 that are worth another look.
845,LIVE FUTURES REPORT 28/08: LME nickel price up 1.5%; zinc spread flips to backwardation,8/28/2019,Amy Hinton,The London Metal Exchange three-month nickel price led gains during the morning session on Wednesday August 28 while the rest of the base metals complex followed a lackluster trajectory of minimal gains on slim trading volumes.
841,LIVE FUTURES REPORT 29/08: SHFE nickel outshines other base metals,8/29/2019,Sally Zhang,"Market caution over developments surrounding the trade spat between the United States and China left metals prices on the Shanghai Futures Exchange mixed, with nickel being the best-performing contract during morning trading on Thursday August 29 amid supply uncertainties and strong speculative sentiment."
840,"LIVE FUTURES REPORT 29/08: LME copper above $5,700/t on 24kt cancelation; nickel-tin switch at $560/t",8/29/2019,Hassan Butt,"The three-month copper price on the London Metal Exchange increased slightly during morning trading on Thursday August 29, bolstered by a fresh cancellation of 24,425 tonnes, while the nickel-tin price differential continues to widen. "
839,PEOPLE MOVES: Mark Lowe leaves Nizi as head of base metals trading,8/29/2019,Julian Luk,"Mark Lowe left Nizi International, where he was head of base metals, in June after one year with the Luxembourg trading house, Fastmarkets has learned. "
838,"LIVE FUTURES REPORT 29/08: LME nickel climbs 2.3%: copper holds above $5,700 per tonne",8/29/2019,Amy Hinton,"The three-month price of nickel traded on the London Metal Exchange continued to outshine the rest of the base metals complex on Thursday August 29, up by 2.3% at the close to $16,445 per tonne, compared with yesterday’s close at $16,085 per tonne.
"
835,Temporary shutdown of Alpart alumina refinery unlikely to dent oversupplied market - sources,8/30/2019,"Alice Mason, Hui Li","Jiuquan Iron & Steel Group (Jisco) plans to temporarily close its Alumina Partners of Jamaica (Alpart) refinery for over a year in the next two to three months, sources told Fastmarkets on Friday August 30. "
837,LIVE FUTURES REPORT 30/08: SHFE nickel maintains strength,8/30/2019,Sally Zhang,Base metals on the Shanghai Futures Exchange mostly traded higher during morning trading on Friday August 30 following improved sentiment attributed to positive comments from the Chinese Commerce Ministry late on Thursday amid China's trade war with the United States.
836,"LIVE FUTURES REPORT 30/08: LME nickel hits 5-yr high, backwardation nears $100/t",8/30/2019,Hassan Butt,"Nickel’s three-month price on the London Metal Exchange continued to trend higher during morning trading on Friday August 30, breaking through the 2018-high while its cash/three-month spread remains tight. "
834,SHFE STOCKS REPORT 30/08: Nickel inventories slump by 15%; copper stocks down 8%,8/30/2019,Sally Zhang,"All base metal stocks at Shanghai Futures Exchange-approved warehouses were lower week on week on Friday August 30, with the biggest percentage fall in nickel stocks, which tumbled by 15.2% or 4,509 tonnes to 25,262 tonnes. "
833,Producer offers Q4 cif MJP aluminium at premium of $110/t – sources,8/30/2019,Karen Ng,"An aluminium producer has offered fourth-quarter 2019 supply of aluminium to main Japanese ports (MJP) at a premium of $110 per tonne, according to market sources. "
832,LIVE FUTURES REPORT 30/08: LME nickel price closes at 5-year high in 9% upturn; tin climbs 3.6%,8/30/2019,Hassan Butt,"The three-month nickel price on the London Metal Exchange continued to surge at the close of trading on Friday August 30, closing at its highest level since September 2014, while a 3.6% uptick in tin futures did little to close a widening gap between the two metals.
"
831,"ALUMINIUM BILLET WRAP: European premiums fall to lowest since late 2016, early 2017",8/30/2019,"Justin Yang, Renato Rostás, Michael Roh","European aluminium billet premiums on Friday August 30 traded at their lowest since late 2016 and early 2017, pressured by a sustained oversupply in the region. "
271,FOCUS: Bearish expectations for MJP Q4 aluminium premium,9/2/2019,Karen Ng,"The ample availability of stock and poor demand for aluminium in Asia have led market participants to expect a downtrend for fourth quarter main Japan ports (MJP) premiums, Fastmarkets heard on Monday September 2."
270,"LIVE FUTURES REPORT 02/09: LME nickel price closes above $18,000/t; tin gains tempered ",9/2/2019,Hassan Butt,"The three-month nickel price on the London Metal Exchange closed higher on Monday September 2, just above the $18,000 per tonne level, despite losing 4% of morning gains, while tin’s outright price also failed to maintain upward momentum. "
273,"LIVE FUTURES REPORT 02/09: LME nickel price powers higher still after large cancelation; tin breaches $17,000/t",9/2/2019,Hassan Butt,"The nickel price on the London Metal Exchange was trading firmly above $18,500 per tonne during morning trading on Monday September 2 against a backdrop of a flurry of buying and cancelation of more than 20,500 tonnes of warrants. "
272,"Hydro, Brazilian federal prosecutors file joint petition to remove last Alunorte embargoes",9/2/2019,Alice Mason,Norwegian aluminium producer Norsk Hydro and the Brazilian federal prosecutors’ office (MPF) have filed a joint petition to remove the embargoes on Alunorte’s new bauxite residue deposit area.
274,"Shanghai-bonded Cu stocks at three-year low; Zn, Ni stocks rise amid unfavorable arb conditions",9/2/2019,"Ellie Wang, Anna Xu, Violet Li, Hui Li",Shanghai-bonded copper stocks fell to their lowest level since February 2016 at the end of August after a profitable import arbitrage between London and Shanghai boosted buying interest for bonded warrants last month.
275,LIVE FUTURES REPORT 02/09: SHFE base metals prices mixed amid trade uncertainty; Ni climbs 4.8%,9/2/2019,Huaqing Fu,"Base metals prices on the Shanghai Futures Exchange were mixed during the morning trading session on Monday September 2, with nickel, tin and aluminum securing gains while the rest weakened marginally. "
269,"Xinfa’s Jiaokou alumina refinery to resume ops in mid-September, sources say",9/3/2019,Hui Li,"Chinese aluminium producer Xinfa Group is planning to restart operations at its Jiaokou alumina refinery in Shanxi province by mid-September, market sources told Fastmarkets on Monday September 2."
268,"LIVE FUTURES REPORT 03/09: SHFE nickel price continues to rally with 7.4% gain, others mixed",9/3/2019,Huaqing Fu,"Nickel once again outperformed the other base metals traded on the Shanghai Futures Exchange during morning trading on Tuesday September 3, with the alloying metal continuing to benefit from expectations of tightening supply following news that Indonesia will expedite a ban on nickel ore exports.  "
267,"LIVE FUTURES REPORT 03/09: LME nickel price holds above $18,000/t amid high turnover; copper falls despite 22kt fresh cancellation ",9/3/2019,Hassan Butt,"The London Metal Exchange three-month price nickel price held gains above $18,000 per tonne during morning trading on Tuesday September 3, while a fresh cancellation of around 22,725 tonnes of copper inventory did little to raise the red metal’s stagnant price. 
"
266,"LIVE FUTURES REPORT 03/09: LME lead price sinks below $2,000 in 1.6% slide; nickel closes below $18,000",9/3/2019,Hassan Butt,"The three-month lead price on the London Metal Exchange showed the greatest losses at the close of trading on Tuesday September 3, falling by some 1.6% to close at its lowest level since August 6.
"
265,WEEKLY BASE METAL PREMIUMS REPORT: 03/09,9/3/2019,Fastmarkets MB staff,"A summary of base metals premiums from across the globe for the week to Tuesday September 3. 

"
262,GLOBAL ALUMINIUM WRAP: European premiums supported by wide contango; first Q4 MJP deal done at $97/t,9/4/2019,"Justin Yang, Karen Ng, Hui Li, Michael Roh","Aluminium premiums in Europe rose this week on persistently wide contangos in London Metal Exchange forward spreads, with the duty-unpaid premium in the Dutch port of Rotterdam edging up to a 15-month high. "
261,PRICING NOTICE: Updated Fastmarkets holiday pricing schedule for 2020,9/4/2019,Fastmarkets MB staff,The Fastmarkets holiday pricing schedule has been updated to reflect a change in the UK public holiday calendar.
263,LIVE FUTURES REPORT 04/09: SHFE base metals prices fall on escalating US-China trade dispute,9/4/2019,Huaqing Fu,"With the exception of aluminum, base metals prices on the Shanghai Futures Exchange were down during the morning trading session on Wednesday September 4, dragged lower by an escalation in the United States-China trade dispute. "
258,"LIVE FUTURES REPORT 04/09: LME zinc price rallies 4.7% to close above $2,300/t ",9/4/2019,Hassan Butt,"The three-month zinc price on the London Metal Exchange topped gains at the close of trading on Wednesday September 4, appreciating by almost 5% to close at its highest level since August 5, while the copper outright price closed at a two-week high. "
257,BASE METALS WARRANT REPORT 04/09,9/4/2019,Fastmarkets MB staff,"A summary of London Metal Exchange warrant premiums from across the globe for the week to Wednesday September 4.
"
260,LIVE FUTURES REPORT 04/09: LME copper recovers 1.6%; tin hits $17k/t,9/4/2019,Hassan Butt,"The  London Metal Exchange three-month copper price increased during morning trading on Wednesday September 4, paring back the bulk of Tuesday’s losses, while high turnover also drove tin’s outright price higher. "
264,NEWSBREAK: First Q4 MJP aluminium deal done at $97/t premium – sources,9/4/2019,Karen Ng,"The first deal for fourth-quarter aluminium ingot supply to Japan has been concluded at a premium of $97 per tonne basis cif main Japanese ports (MJP), about 10% lower than the third-quarter benchmark, market sources told Fastmarkets on Wednesday September 4."
259,"ALUMINIUM ARB INDICATOR: Estimated arb narrowest in 18 months on weak premium, high barge costs [CORRECTED]",9/4/2019,Justin Yang,A sustained weakness in the United States' Midwest aluminium premium and increased barge freight rates pushed the estimated arbitrage between Southeast Asian warehouses and the United States to an 18-month low.
256,IN CASE YOU MISSED IT: 5 key stories from September 4,9/5/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Wednesday September 4 that are worth another look.
255,"LIVE FUTURES REPORT 05/09: SHFE base metals prices rise on easing trade tensions, softer dollar; Ni, Pb buck trend",9/5/2019,Karen Ng,"With the exception of nickel and lead, base metals prices on the Shanghai Futures Exchange were up during the morning trading session on Thursday September 5, with the complex buoyed by improved risk sentiment following an easing of geopolitical tensions and softer dollar."
254,LIVE FUTURES REPORT 05/09: LME tin price climbs 2% amid news of China production cut; nickel falls 2.5%,9/5/2019,Hassan Butt,"Tin’s three-month price on the London Metal Exchange was up by more than 2% during morning trading on Thursday September 5, climbing to its highest level since late-July amid news of planned smelter production cuts in China, while a 2.5% downturn in nickel has prompted another switch between the two metals. "
253,LIVE FUTURES REPORT 05/09: LME copper price at top of gains in high-volume trading; nickel falls 3.5%,9/5/2019,Hassan Butt,"The three-month copper price on the London Metal Exchange was higher at the close of trading on Thursday September 5, breaching the $5,800 per tonne resistance level and closing at its highest level since August 1.
"
252,FOCUS: Why is the LME aluminium price ignoring the bullish fundamentals?,9/5/2019,Alice Mason,"Aluminium prices on the London Metal Exchange remain at historically low levels despite low stock levels, high premiums and sustained elevated raw materials costs. "
249,"LIVE FUTURES REPORT 06/09: LME nickel price consolidates lower following fresh inflow; copper holds above $5,800/t",9/6/2019,Hassan Butt,"The three-month nickel price on the London Metal Exchange was lower during morning trading on Friday September 6, with upward momentum tempered by a fresh inflow of some 1,100 tonnes, while copper futures continued to find support above the $5,800-per-tonne support level. "
250,LIVE FUTURES REPORT 06/09: Broad-based strength in SHFE base metals prices continues; Cu up 1.2%,9/6/2019,Karen Ng,"With the exception of tin and nickel, base metals prices on the Shanghai Futures Exchange were up during morning trading on Friday September 6."
248,China approves launch of country’s first non-ferrous metals ETF,9/6/2019,Sally Zhang,The China Securities Regulatory Commission (CSRC) has approved the listing of a non-ferrous metals exchange-traded fund (ETF) on the Shenzhen Stock Exchange (SZSE).
251,IN CASE YOU MISSED IT: 5 key stories from September 5,9/6/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Thursday September 5 that are worth another look.
246,LIVE FUTURES REPORT 06/09: LME nickel spreads tighten on mild buying momentum; lead price finds support,9/6/2019,Hassan Butt,"The London Metal Exchange three-month nickel price closed higher on Friday September 6, with fresh buying momentum prompting the metal’s forward spreads to tighten, while a steady incline in lead futures led the metal to top afternoon gains. "
245,Aluminium scrap prices mixed in quiet US market,9/6/2019,Elizabeth Ramanand,"Some aluminium scrap prices in the United States slipped over the past week, with the majority unchanged from the previous week, due to muted market activity and a lack of demand, sources said on Thursday September 5."
247,SHFE STOCKS REPORT 06/09: Lead inventories plunge 16%; nickel stocks fall 15%,9/6/2019,Karen Ng,"Barring copper and zinc, base metal stocks at Shanghai Futures Exchange-approved warehouses fell in the week to Friday September 6, with the biggest percentage fall in lead stocks, which tumbled by 16.3% or 5,081 tonnes to 25,998 tonnes. "
244,"US secondary aluminium alloy prices, Nasaac sink",9/6/2019,Michael Roh,"Secondary aluminium alloy prices fell across the board on Thursday September 5 due to diminishing demand in the United States, with the London Metal Exchange's North American special aluminium alloy contract (Nasaac) also tumbling to a more than 10-year low."
243,"LIVE FUTURES REPORT 09/09: SHFE base metals prices pressured by weak Chinese, US data; Ni up 1.2%",9/9/2019,Susan Zou,Base metals prices on the Shanghai Futures Exchange were broadly down during morning trading on Monday September 9 with weak data from the United States and China last week weighing on the complex.
242,INTERVIEW: ‘We have set ourselves an ambitious timeline’ - Elysis’ Vincent Christ,9/9/2019,Andrea Hotter,"Technology joint venture Elysis, led by Rio Tinto and Alcoa, is determined to revolutionize the aluminium smelting industry, chief executive officer Vincent Christ told Fastmarkets in an interview for Metal Market Magazine. "
241,NEWSBREAK: Indonesia considers ban of bauxite exports - sources,9/9/2019,Hui Li,"Indonesia is drafting regulations to ban the export of bauxite from the country, sources told Fastmarkets on Monday September 9. "
240,LIVE FUTURES REPORT 09/09: LME aluminium price outperforms in lackluster morning trade; nickel down 1%,9/9/2019,Hassan Butt,"The three-month aluminium price on the London Metal Exchange was higher during morning trading on Monday September 9, with a 0.6% gain against continued outflows in LME stocks, while spread tightness in nickel futures has been a key factor in reduced buying. "
239,Automotive trends drive foundry alloy demand,9/9/2019,"Justin Yang, Amy Hinton","Aluminium producers are ramping up their production of primary foundry alloys (PFAs) in anticipation of increased demand from the automotive sector, and amid a market shift away from a reliance on traditional internal combustion engines (ICEs) toward hybrid vehicles.
"
238,Japanese aluminium market moves toward spot buying,9/9/2019,Karen Ng,The balance between spot and quarterly aluminium premiums in Japan is shifting toward greater use of spot pricing. Karen Ng reviews the drivers.
237,A rollercoaster year for alumina prices,9/9/2019,"Alice Mason, Hui Li",Alumina prices have been trading close to their lowest level in over two years. Alice Mason and Hui Li review the market factors that drove prices down and consider the outlook.
236,PEOPLE MOVES: Alcoa’s Reyes promoted to aluminium supply chain chief in restructure,9/9/2019,Alice Mason,Timothy Reyes will assume a new position as executive vice president and chief commercial officer of Alcoa from November 1.
235,ALUMINA SNAPSHOT: Australia price hits three-week low; remains under pressure,9/9/2019,Alice Mason,Key data from the Monday August 9 pricing session in London and Shanghai.
234,"LIVE FUTURES REPORT 09/09: LME aluminium closes at six-week high; nickel above $18,000 per tonne",9/9/2019,Hassan Butt,"The three-month aluminium price on the London Metal Exchange had risen at the close of trading on Monday September 9, reaching its highest level since July 31, while a steady uptick in nickel futures over the afternoon saw the metal regain support above the $18,000 per tonne threshold.
"
232,"LIVE FUTURES REPORT 10/09: SHFE nickel price outperforms with 1.5% gain, others mixed",9/10/2019,Sally Zhang,Base metals prices on the Shanghai Futures Exchange exhibited mixed movements during morning trading on Tuesday September 10 while the complex reacts to global economic growth concerns and China relaxing its monetary policy.
233,IN CASE YOU MISSED IT: 5 key stories from September 9,9/10/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Monday September 9 that are worth another look.
231,"LIVE FUTURES REPORT 10/09: LME copper price dips below $5,800/t; Al maintains support ",9/10/2019,Hassan Butt,"The three-month copper price on the London Metal Exchange was slightly lower during morning trading on Tuesday September 10, falling below its nearby $5,800 per tonne support level amid broad complex weakness, while aluminium futures stayed above the $1,800 per tonne threshold. "
230,LME queue for aluminium at Istim's Port Klang warehouses rises again,9/10/2019,Alice Mason,"The queue to remove aluminium from London Metal Exchange-approved warehouses operated by Istim in Port Klang, Malaysia, doubled to 64 days at the end of August, according to the latest LME data. "
229,"LIVE FUTURES REPORT 10/09: LME aluminium, copper prices buoyed by strong trading volumes ",9/10/2019,Amy Hinton,The three-month aluminium and copper prices on the London Metals Exchange defied a stronger dollar index to trade significant volumes by the end of the day’s trading on Tuesday September 10.
228,WEEKLY BASE METAL PREMIUMS REPORT: 10/09,9/10/2019,Fastmarkets MB staff,A summary of base metals premiums from across the globe for the week to Tuesday September 10.
225,LIVE FUTURES REPORT 11/09: LME nickel price up 0.8%; backwardation attracts fresh inflows,9/11/2019,Amy Hinton,"The London Metal Exchange three-month nickel price climbed 0.8% in the morning session on Wednesday September 11, trading up around $18,150 per tonne from the previous day’s $17,950 per tonne close. "
224,GLOBAL ALUMINIUM WRAP: European premiums continue uptrend; Sao Paulo premium refreshes 2019 low,9/11/2019,"Justin Yang, Karen Ng, Renato Rostás, Michael Roh","Aluminium premiums in Europe continued an uptrend on Tuesday September 10, following higher regional benchmark premiums, while the domestic Brazilian premium refreshed its lowest level so far this year due to destocking in the market."
223,LME owner HKEX proposes to buy London Stock Exchange for $37bln,9/11/2019,Alice Mason,"Hong Kong Exchanges & Clearing Ltd (HKEX) has made a proposal to the board of London Stock Exchange Group (LSEG) to buy the stock exchange, combining the two companies. "
222,Norsk Hydro to cut foil output in rolling operations revamp,9/11/2019,Michael Roh,"Norsk Hydro will cut foil production at its rolled products operations by about 30% by the end of 2020 in a widespread restructuring of this business segment, the Norwegian aluminium producer told Fastmarkets on Tuesday September 10."
221,BASE METALS WARRANT REPORT 11/09,9/11/2019,Fastmarkets MB staff,"A summary of London Metal Exchange warrant premiums from across the globe for the week to Wednesday September 11.
"
226,LIVE FUTURES REPORT 11/09: Mixed moves in SHFE base metals prices continue despite easing trade tensions; Al buoyed,9/11/2019,Susan Zou,"As they have done throughout most of this week, base metals prices on the Shanghai Futures Exchange gave mixed performances during morning trading on Wednesday September 11."
220,"LIVE FUTURES REPORT 11/09: LME tin price at 12-week high; nickel slips below $18,000 per tonne",9/11/2019,Hassan Butt,"The three-month price of tin on the London Metal Exchange was higher at the close of trading on Wednesday September 11, settling at its highest level since June 21, while a steady downturn across the rest of the complex saw nickel fall through its nearby $18,000 per tonne support level.
"
227,IN CASE YOU MISSED IT: 5 key stories from September 10,9/11/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Tuesday September 10 that are worth another look.
219,LIVE FUTURES REPORT 12/09: SHFE base metals prices little changed ahead of China holiday,9/12/2019,Ellie Wang,"Base metals prices on the Shanghai Futures Exchange were little changed during the morning session on Thursday September 12, with trading activity light ahead of a national holiday in China on Friday to mark the Mid-Autumn Festival."
218,"LIVE FUTURES REPORT 12/09: LME copper price nears $5,900/t in 2% climb; nickel regains momentum",9/12/2019,Hassan Butt,"The three-month copper price on the London Metal Exchange approached its highest level since August 1 during morning trading on Thursday September 12 amid high morning turnover, while the nickel price also appreciated by 2%."
217,SHFE STOCKS REPORT 12/09: Copper inventories fall 6% ahead of peak consumption season,9/12/2019,Ellie Wang,"All base metal stocks at Shanghai Futures Exchange-approved warehouses, barring tin, fell in the week to Thursday September 12 as a result of a pick-up in activity at the start of the traditionally busy season of September and October for the non-ferrous metals sector. "
216,FOCUS: Metals industry sees roadblocks to HKEX-LSE deal,9/12/2019,Alice Mason,"The proposal by Hong Kong Exchanges & Clearing Ltd (HKEX) to buy the London Stock Exchange Group (LSEG) has raised a number of questions among metals market participants, most of whom are skeptical that the deal will go through during a time of political upheaval."
215,"LIVE FUTURES REPORT 12/09: LME nickel spreads tighten; price closes below $18,000 per tonne",9/12/2019,Hassan Butt,"The three-month nickel price on the London Metal Exchange was lower at the close of trading on Thursday September 12, while considerable tightness in the metal’s forward spreads prompted market questions of prospective deliveries into LME warehouses to ease trading conditions.
"
212,PRICING NOTICE: Correction to Fastmarkets’ copper concentrates index,9/13/2019,Archie Hunter,"Fastmarkets MB has corrected its copper concentrates index, which was published incorrectly on Friday September 13 due to an error."
214,LIVE FUTURES REPORT 13/09: Fresh 12kt inflow tempers LME nickel price; copper remains supported,9/13/2019,Hassan Butt,"The three-month nickel price on the London Metal Exchange was lower during morning trading on Friday September 13, declining by around 2.7% against a fresh inflow of some 12,000 tonnes, while copper futures continued to trade in an uptrend."
213,LSE rejects $37bln HKEX bid citing 'fundmental concerns',9/13/2019,Archie Hunter,"London Stock Exchange Group (LSEG) has rejected Hong Kong Exchanges & Clearing's (HKEX) unsolicited bid for the company and remains committed to a proposed acquisition of data provider Refinitiv, it said in a release on Friday September 13. "
211,"ALUMINIUM FOUNDRY WRAP: US, European premiums remain muted",9/13/2019,"Justin Yang, Michael Roh",Poor demand and ongoing bearish sentiment surrounding the European economy continued to keep premiums for aluminium foundry in the region tepid on Friday September 13.
206,"FOCUS: Will SHFE aluminium price rally to 15,000 yuan per tonne? [CORRECTED]",9/16/2019,Hui Li,"The active contract price for aluminum on the Shanghai Futures Exchange may rise as high as 15,000 yuan ($2,128) per tonne by the end of October 2019 on the back of tightening supply, market participants have told Fastmarkets."
210,IN CASE YOU MISSED IT: 5 key stories from September 13,9/16/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Friday September 13 that are worth another look.
208,"LIVE FUTURES REPORT 16/09: LME nickel price falls 2.5% despite outflows; copper holds above $5,900/t ",9/16/2019,Hassan Butt,"The three-month nickel price on the London Metal Exchange was lower during morning trading on Monday September 16, retreating toward $17,300 per tonne, ignoring stock outflows that have brought on-warrant material down to its lowest level in eight years. "
207,"LIVE FUTURES REPORT 16/09: LME copper price sinks below $5,900 in afternoon downturn; nickel sell-off continues",9/16/2019,Hassan Butt,"The three-month copper price on the London Metal Exchange was lower at the close of trading on Monday September 16, below nearby support levels, while a continued sell-off in nickel futures saw that commodity’s outright price fall by 2.6%.
"
209,LIVE FUTURES REPORT 16/09: SHFE base metals prices mixed; Ni under pressure from stock inflows,9/16/2019,Violet Li,"Base metals prices on the Shanghai Futures Exchange were on divergent paths during morning trading on Monday September 16, with risk aversion among investors heightening following an attack on Saudi Arabian oil facilities over the weekend."
205,IN CASE YOU MISSED IT: 5 key stories from September 16,9/17/2019,Fastmarkets MB staff,Here are five Fastmarkets MB stories you might have missed on Monday September 16 that are worth another look.
201,WEEKLY BASE METAL PREMIUMS REPORT: 17/09,9/17/2019,Fastmarkets MB staff,A summary of base metals premiums from across the globe for the week to Tuesday September 17.
